"Designator";"Footprint";"Quantity";"Value";"LCSC Part #";"MFR Part #"
"C1, C17, C4, C9";402;4;"10u";"C15525 ";"CL05A106MQ5NUNC"
"C10, C8";402;2;"1u";"C52923 ";"CL05A105KA5NQNC "
"C11, C14, C15, C16, C18, C19, C20, C21, C5, C6, C7";402;11;"100n";"C1525 ";"CL05B104KO5NNNC "
"C12, C13";402;2;"220p";"C1530 ";"0402B221K500NT "
"C2, C3";402;2;"27p";"C1557 ";"0402CG270J500NT"
"D1";603;1;"LED";"C2290 ";"KT-0603W"
"D2, D3";805;2;"D_Schottky";;
"J1";"GCT_USB4105-GF-A";1;"USB_C_Receptacle_USB2.0";"C3020560 ";"USB4105-GF-A "
"J2";"PinSocket_1x16_P2.54mm_Vertical";1;"Conn_01x16_Socket";;
"J6";"USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal";1;"USB_C_Receptacle_PowerOnly_6P";"C5438410 ";"USB4135-GF-A "
"LS1";"CMS_131304_smt_tr";1;"Speaker";"C9900205221 ";"CMS-131304-SMT-TR"
"R1, R5, R8";402;3;"1k";"C11702 ";"0402WGF1001TCE "
"R10, R11";402;2;"5.1k";"C25905 ";"0402WGF5101TCE "
"R12, R2";402;2;"DNF";;
"R13, R9";402;2;"56k";"C25796 ";"0402WGF5602TCE"
"R3, R4";402;2;27;"C138021 ";"RC0402FR-0727RL "
"R6";402;1;"100k";"C25741 ";"0402WGF1003TCE "
"R7";402;1;"680k";"C163456 ";"RC0402FR-07680KL "
"SW1";"PTS636_SL50_SMTR_LFS Tactile Switch";1;"Conn_01x02";"C2801322 ";"PTS636 SL50 SMTR LFS "
"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";"C26537 ";"NCP1117ST33T3G "
"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";"C97521 ";"W25Q128JVSIQ "
"U3";"RP2040-QFN-56";1;"RP2040";"C2040";"RP2040"
"U4";"2328702-8";1;" ";"C3168593 ";"2328702-8 "
"U5";"MAX98357AETE-T";1;"MAX98357AETE+T";"C910544 ";"MAX98357AETE+T "
"Y1";"403C35D12M00000";1;"ABLS-12.000MHZ-B4-T";"C1985831 ";"403C35D12M00000"
